pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc,behavior__math_all_objects_36ab389c,behavior__math_delimiter_tests_c9d034dc,superdoc_chain,behavior__math_all_objects_36ab389c.docx,behavior__math_delimiter_tests_c9d034dc.docx,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.docx,,MISSING,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_autofit_colspan_1fd7723c_super_editor__table_merged_cells_9c349334,super_editor__table_autofit_colspan_1fd7723c,super_editor__table_merged_cells_9c349334,superdoc_chain,super_editor__table_autofit_colspan_1fd7723c.docx,super_editor__table_merged_cells_9c349334.docx,super_editor__table_autofit_colspan_1fd7723c_super_editor__table_merged_cells_9c349334_redline.docx,,MISSING,super_editor__table_autofit_colspan_1fd7723c_super_editor__table_merged_cells_9c349334_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_merged_cells_9c349334_super_editor__table_width_issue_20b01504,super_editor__table_merged_cells_9c349334,super_editor__table_width_issue_20b01504,superdoc_chain,super_editor__table_merged_cells_9c349334.docx,super_editor__table_width_issue_20b01504.docx,super_editor__table_merged_cells_9c349334_super_editor__table_width_issue_20b01504_redline.docx,,MISSING,super_editor__table_merged_cells_9c349334_super_editor__table_width_issue_20b01504_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_width_issue_20b01504_super_editor__table_widths_SD_732_12074135,super_editor__table_width_issue_20b01504,super_editor__table_widths_SD_732_12074135,superdoc_chain,super_editor__table_width_issue_20b01504.docx,super_editor__table_widths_SD_732_12074135.docx,super_editor__table_width_issue_20b01504_super_editor__table_widths_SD_732_12074135_redline.docx,,MISSING,super_editor__table_width_issue_20b01504_super_editor__table_widths_SD_732_12074135_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_widths_SD_732_12074135_super_editor__table_c70ca973,super_editor__table_widths_SD_732_12074135,super_editor__table_c70ca973,superdoc_chain,super_editor__table_widths_SD_732_12074135.docx,super_editor__table_c70ca973.docx,super_editor__table_widths_SD_732_12074135_super_editor__table_c70ca973_redline.docx,,MISSING,super_editor__table_widths_SD_732_12074135_super_editor__table_c70ca973_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_c70ca973_super_editor__text_color_highlight_36cb4c90,super_editor__table_c70ca973,super_editor__text_color_highlight_36cb4c90,superdoc_chain,super_editor__table_c70ca973.docx,super_editor__text_color_highlight_36cb4c90.docx,super_editor__table_c70ca973_super_editor__text_color_highlight_36cb4c90_redline.docx,,MISSING,super_editor__table_c70ca973_super_editor__text_color_highlight_36cb4c90_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__text_color_highlight_36cb4c90_super_editor__threaded_comment_27bda0ba,super_editor__text_color_highlight_36cb4c90,super_editor__threaded_comment_27bda0ba,superdoc_chain,super_editor__text_color_highlight_36cb4c90.docx,super_editor__threaded_comment_27bda0ba.docx,super_editor__text_color_highlight_36cb4c90_super_editor__threaded_comment_27bda0ba_redline.docx,,MISSING,super_editor__text_color_highlight_36cb4c90_super_editor__threaded_comment_27bda0ba_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__threaded_comment_27bda0ba_super_editor__two_column_two_page_arial_6d5ca9a5,super_editor__threaded_comment_27bda0ba,super_editor__two_column_two_page_arial_6d5ca9a5,superdoc_chain,super_editor__threaded_comment_27bda0ba.docx,super_editor__two_column_two_page_arial_6d5ca9a5.docx,super_editor__threaded_comment_27bda0ba_super_editor__two_column_two_page_arial_6d5ca9a5_redline.docx,,MISSING,super_editor__threaded_comment_27bda0ba_super_editor__two_column_two_page_arial_6d5ca9a5_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__two_column_two_page_arial_6d5ca9a5_super_editor__two_column_two_page_0b8a37c5,super_editor__two_column_two_page_arial_6d5ca9a5,super_editor__two_column_two_page_0b8a37c5,superdoc_chain,super_editor__two_column_two_page_arial_6d5ca9a5.docx,super_editor__two_column_two_page_0b8a37c5.docx,super_editor__two_column_two_page_arial_6d5ca9a5_super_editor__two_column_two_page_0b8a37c5_redline.docx,,MISSING,super_editor__two_column_two_page_arial_6d5ca9a5_super_editor__two_column_two_page_0b8a37c5_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__two_column_two_page_0b8a37c5_super_editor__vrect_node_c8e51f22,super_editor__two_column_two_page_0b8a37c5,super_editor__vrect_node_c8e51f22,superdoc_chain,super_editor__two_column_two_page_0b8a37c5.docx,super_editor__vrect_node_c8e51f22.docx,super_editor__two_column_two_page_0b8a37c5_super_editor__vrect_node_c8e51f22_redline.docx,,MISSING,super_editor__two_column_two_page_0b8a37c5_super_editor__vrect_node_c8e51f22_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__vrect_node_c8e51f22_super_editor__wmf_emf_44a469b8,super_editor__vrect_node_c8e51f22,super_editor__wmf_emf_44a469b8,superdoc_chain,super_editor__vrect_node_c8e51f22.docx,super_editor__wmf_emf_44a469b8.docx,super_editor__vrect_node_c8e51f22_super_editor__wmf_emf_44a469b8_redline.docx,,MISSING,super_editor__vrect_node_c8e51f22_super_editor__wmf_emf_44a469b8_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__restart_numbering_sub_list_85ddcb79_behavior__math_delimiter_tests_c9d034dc,super_editor__restart_numbering_sub_list_85ddcb79,behavior__math_delimiter_tests_c9d034dc,superdoc_cross,super_editor__restart_numbering_sub_list_85ddcb79.docx,behavior__math_delimiter_tests_c9d034dc.docx,super_editor__restart_numbering_sub_list_85ddcb79_behavior__math_delimiter_tests_c9d034dc_redline.docx,,MISSING,super_editor__restart_numbering_sub_list_85ddcb79_behavior__math_delimiter_tests_c9d034dc_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__doc_with_spacing_e3d47bd7_super_editor__image_doc_c7d007ac,super_editor__doc_with_spacing_e3d47bd7,super_editor__image_doc_c7d007ac,superdoc_cross,super_editor__doc_with_spacing_e3d47bd7.docx,super_editor__image_doc_c7d007ac.docx,super_editor__doc_with_spacing_e3d47bd7_super_editor__image_doc_c7d007ac_redline.docx,,MISSING,super_editor__doc_with_spacing_e3d47bd7_super_editor__image_doc_c7d007ac_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__ooxml_color_rstyle_linked_combos_demo_23e43bed_super_editor__diff_before2_ca0c6859,super_editor__ooxml_color_rstyle_linked_combos_demo_23e43bed,super_editor__diff_before2_ca0c6859,superdoc_cross,super_editor__ooxml_color_rstyle_linked_combos_demo_23e43bed.docx,super_editor__diff_before2_ca0c6859.docx,super_editor__ooxml_color_rstyle_linked_combos_demo_23e43bed_super_editor__diff_before2_ca0c6859_redline.docx,,MISSING,super_editor__ooxml_color_rstyle_linked_combos_demo_23e43bed_super_editor__diff_before2_ca0c6859_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__complex_list_def_short_fde20a67_super_editor__restart_numbering_sub_list_85ddcb79,super_editor__complex_list_def_short_fde20a67,super_editor__restart_numbering_sub_list_85ddcb79,superdoc_cross,super_editor__complex_list_def_short_fde20a67.docx,super_editor__restart_numbering_sub_list_85ddcb79.docx,super_editor__complex_list_def_short_fde20a67_super_editor__restart_numbering_sub_list_85ddcb79_redline.docx,,MISSING,super_editor__complex_list_def_short_fde20a67_super_editor__restart_numbering_sub_list_85ddcb79_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__comment_23ee5ec1_super_editor__annot2_03ae6b74,super_editor__comment_23ee5ec1,super_editor__annot2_03ae6b74,superdoc_cross,super_editor__comment_23ee5ec1.docx,super_editor__annot2_03ae6b74.docx,super_editor__comment_23ee5ec1_super_editor__annot2_03ae6b74_redline.docx,,MISSING,super_editor__comment_23ee5ec1_super_editor__annot2_03ae6b74_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__pageref_standalone_uppercase_h_7701e07f_super_editor__python_docx_comment_test_501f21cb,behavior__pageref_standalone_uppercase_h_7701e07f,super_editor__python_docx_comment_test_501f21cb,superdoc_cross,behavior__pageref_standalone_uppercase_h_7701e07f.docx,super_editor__python_docx_comment_test_501f21cb.docx,behavior__pageref_standalone_uppercase_h_7701e07f_super_editor__python_docx_comment_test_501f21cb_redline.docx,,MISSING,behavior__pageref_standalone_uppercase_h_7701e07f_super_editor__python_docx_comment_test_501f21cb_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_merged_table_821b922c_super_editor__paragraph_spacing_missing_de418c38,behavior__sd_2672_merged_table_821b922c,super_editor__paragraph_spacing_missing_de418c38,superdoc_cross,behavior__sd_2672_merged_table_821b922c.docx,super_editor__paragraph_spacing_missing_de418c38.docx,behavior__sd_2672_merged_table_821b922c_super_editor__paragraph_spacing_missing_de418c38_redline.docx,,MISSING,behavior__sd_2672_merged_table_821b922c_super_editor__paragraph_spacing_missing_de418c38_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__hummingbird_c5e5ac81_evals__employment_offer_4cf5a872,super_editor__hummingbird_c5e5ac81,evals__employment_offer_4cf5a872,superdoc_cross,super_editor__hummingbird_c5e5ac81.docx,evals__employment_offer_4cf5a872.docx,super_editor__hummingbird_c5e5ac81_evals__employment_offer_4cf5a872_redline.docx,,MISSING,super_editor__hummingbird_c5e5ac81_evals__employment_offer_4cf5a872_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_merged_cells_9c349334_super_editor__header_alternating_odd_even_11e01996,super_editor__table_merged_cells_9c349334,super_editor__header_alternating_odd_even_11e01996,superdoc_cross,super_editor__table_merged_cells_9c349334.docx,super_editor__header_alternating_odd_even_11e01996.docx,super_editor__table_merged_cells_9c349334_super_editor__header_alternating_odd_even_11e01996_redline.docx,,MISSING,super_editor__table_merged_cells_9c349334_super_editor__header_alternating_odd_even_11e01996_redline.pdf,MISSING,accepted_docx; pdf_accepted
cli_legacy__sample_3a8f1f93_evals__comments_doc_79800b37,cli_legacy__sample_3a8f1f93,evals__comments_doc_79800b37,superdoc_cross,cli_legacy__sample_3a8f1f93.docx,evals__comments_doc_79800b37.docx,cli_legacy__sample_3a8f1f93_evals__comments_doc_79800b37_redline.docx,,MISSING,cli_legacy__sample_3a8f1f93_evals__comments_doc_79800b37_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__orderedlist_interrupted1_a3cd0dd3_behavior__math_limit_tests_6dc07867,super_editor__orderedlist_interrupted1_a3cd0dd3,behavior__math_limit_tests_6dc07867,superdoc_cross,super_editor__orderedlist_interrupted1_a3cd0dd3.docx,behavior__math_limit_tests_6dc07867.docx,super_editor__orderedlist_interrupted1_a3cd0dd3_behavior__math_limit_tests_6dc07867_redline.docx,,MISSING,super_editor__orderedlist_interrupted1_a3cd0dd3_behavior__math_limit_tests_6dc07867_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__listWithSpacerNodes_cf53e890_super_editor__sdts_basic_45263ca5,super_editor__listWithSpacerNodes_cf53e890,super_editor__sdts_basic_45263ca5,superdoc_cross,super_editor__listWithSpacerNodes_cf53e890.docx,super_editor__sdts_basic_45263ca5.docx,super_editor__listWithSpacerNodes_cf53e890_super_editor__sdts_basic_45263ca5_redline.docx,,MISSING,super_editor__listWithSpacerNodes_cf53e890_super_editor__sdts_basic_45263ca5_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__basic_comment_d3ba5f1e_super_editor__basic_table_shading_d3212ffd,super_editor__basic_comment_d3ba5f1e,super_editor__basic_table_shading_d3212ffd,superdoc_cross,super_editor__basic_comment_d3ba5f1e.docx,super_editor__basic_table_shading_d3212ffd.docx,super_editor__basic_comment_d3ba5f1e_super_editor__basic_table_shading_d3212ffd_redline.docx,,MISSING,super_editor__basic_comment_d3ba5f1e_super_editor__basic_table_shading_d3212ffd_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__Hello_docx_world_12f11074_behavior__multi_image_types_b962a2b8,super_editor__Hello_docx_world_12f11074,behavior__multi_image_types_b962a2b8,superdoc_cross,super_editor__Hello_docx_world_12f11074.docx,behavior__multi_image_types_b962a2b8.docx,super_editor__Hello_docx_world_12f11074_behavior__multi_image_types_b962a2b8_redline.docx,,MISSING,super_editor__Hello_docx_world_12f11074_behavior__multi_image_types_b962a2b8_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2750_borderbox_7cd3768d_super_editor__pci_table_dc840852,behavior__sd_2750_borderbox_7cd3768d,super_editor__pci_table_dc840852,superdoc_cross,behavior__sd_2750_borderbox_7cd3768d.docx,super_editor__pci_table_dc840852.docx,behavior__sd_2750_borderbox_7cd3768d_super_editor__pci_table_dc840852_redline.docx,,MISSING,behavior__sd_2750_borderbox_7cd3768d_super_editor__pci_table_dc840852_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__alternateContent_valid_de18b376_behavior__math_radical_tests_4c1ce187,super_editor__alternateContent_valid_de18b376,behavior__math_radical_tests_4c1ce187,superdoc_cross,super_editor__alternateContent_valid_de18b376.docx,behavior__math_radical_tests_4c1ce187.docx,super_editor__alternateContent_valid_de18b376_behavior__math_radical_tests_4c1ce187_redline.docx,,MISSING,super_editor__alternateContent_valid_de18b376_behavior__math_radical_tests_4c1ce187_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__text_color_highlight_36cb4c90_super_editor__basic_table_shading_d3212ffd,super_editor__text_color_highlight_36cb4c90,super_editor__basic_table_shading_d3212ffd,superdoc_cross,super_editor__text_color_highlight_36cb4c90.docx,super_editor__basic_table_shading_d3212ffd.docx,super_editor__text_color_highlight_36cb4c90_super_editor__basic_table_shading_d3212ffd_redline.docx,,MISSING,super_editor__text_color_highlight_36cb4c90_super_editor__basic_table_shading_d3212ffd_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__broken_list_missing_items_36b4199e_super_editor__list_numbering_reimport_d788d573,super_editor__broken_list_missing_items_36b4199e,super_editor__list_numbering_reimport_d788d573,superdoc_cross,super_editor__broken_list_missing_items_36b4199e.docx,super_editor__list_numbering_reimport_d788d573.docx,super_editor__broken_list_missing_items_36b4199e_super_editor__list_numbering_reimport_d788d573_redline.docx,,MISSING,super_editor__broken_list_missing_items_36b4199e_super_editor__list_numbering_reimport_d788d573_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sd_1480_two_col_index_0138dccc_super_editor__longer_header_sign_area_7c80b525,super_editor__sd_1480_two_col_index_0138dccc,super_editor__longer_header_sign_area_7c80b525,superdoc_cross,super_editor__sd_1480_two_col_index_0138dccc.docx,super_editor__longer_header_sign_area_7c80b525.docx,super_editor__sd_1480_two_col_index_0138dccc_super_editor__longer_header_sign_area_7c80b525_redline.docx,,MISSING,super_editor__sd_1480_two_col_index_0138dccc_super_editor__longer_header_sign_area_7c80b525_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sdt_node_comment_ec887683_super_editor__comment_23ee5ec1,super_editor__sdt_node_comment_ec887683,super_editor__comment_23ee5ec1,superdoc_cross,super_editor__sdt_node_comment_ec887683.docx,super_editor__comment_23ee5ec1.docx,super_editor__sdt_node_comment_ec887683_super_editor__comment_23ee5ec1_redline.docx,,MISSING,super_editor__sdt_node_comment_ec887683_super_editor__comment_23ee5ec1_redline.pdf,MISSING,accepted_docx; pdf_accepted
doc_api_stories__diff_doc2_bc0da0ce_super_editor__diff_before16_f518c031,doc_api_stories__diff_doc2_bc0da0ce,super_editor__diff_before16_f518c031,superdoc_cross,doc_api_stories__diff_doc2_bc0da0ce.docx,super_editor__diff_before16_f518c031.docx,doc_api_stories__diff_doc2_bc0da0ce_super_editor__diff_before16_f518c031_redline.docx,,MISSING,doc_api_stories__diff_doc2_bc0da0ce_super_editor__diff_before16_f518c031_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2750_borderbox_7cd3768d_super_editor__list_spacer1_06383c66,behavior__sd_2750_borderbox_7cd3768d,super_editor__list_spacer1_06383c66,superdoc_cross,behavior__sd_2750_borderbox_7cd3768d.docx,super_editor__list_spacer1_06383c66.docx,behavior__sd_2750_borderbox_7cd3768d_super_editor__list_spacer1_06383c66_redline.docx,,MISSING,behavior__sd_2750_borderbox_7cd3768d_super_editor__list_spacer1_06383c66_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_c70ca973_behavior__sd_2672_nested_table_dfac08bb,super_editor__table_c70ca973,behavior__sd_2672_nested_table_dfac08bb,superdoc_cross,super_editor__table_c70ca973.docx,behavior__sd_2672_nested_table_dfac08bb.docx,super_editor__table_c70ca973_behavior__sd_2672_nested_table_dfac08bb_redline.docx,,MISSING,super_editor__table_c70ca973_behavior__sd_2672_nested_table_dfac08bb_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sdts_basic_45263ca5_super_editor__ooxml_size_rstyle_linked_combos_demo_017c9552,super_editor__sdts_basic_45263ca5,super_editor__ooxml_size_rstyle_linked_combos_demo_017c9552,superdoc_cross,super_editor__sdts_basic_45263ca5.docx,super_editor__ooxml_size_rstyle_linked_combos_demo_017c9552.docx,super_editor__sdts_basic_45263ca5_super_editor__ooxml_size_rstyle_linked_combos_demo_017c9552_redline.docx,,MISSING,super_editor__sdts_basic_45263ca5_super_editor__ooxml_size_rstyle_linked_combos_demo_017c9552_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__super_basic_table_86d8d916_behavior__sd_2672_rtl_table_63bd9d10,super_editor__super_basic_table_86d8d916,behavior__sd_2672_rtl_table_63bd9d10,superdoc_cross,super_editor__super_basic_table_86d8d916.docx,behavior__sd_2672_rtl_table_63bd9d10.docx,super_editor__super_basic_table_86d8d916_behavior__sd_2672_rtl_table_63bd9d10_redline.docx,,MISSING,super_editor__super_basic_table_86d8d916_behavior__sd_2672_rtl_table_63bd9d10_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_limit_tests_6dc07867_evals__document_9bff7e1b,behavior__math_limit_tests_6dc07867,evals__document_9bff7e1b,superdoc_cross,behavior__math_limit_tests_6dc07867.docx,evals__document_9bff7e1b.docx,behavior__math_limit_tests_6dc07867_evals__document_9bff7e1b_redline.docx,,MISSING,behavior__math_limit_tests_6dc07867_evals__document_9bff7e1b_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__rtl_header_footer_e1ac81f6_super_editor__complex_list_def_short_fde20a67,behavior__rtl_header_footer_e1ac81f6,super_editor__complex_list_def_short_fde20a67,superdoc_cross,behavior__rtl_header_footer_e1ac81f6.docx,super_editor__complex_list_def_short_fde20a67.docx,behavior__rtl_header_footer_e1ac81f6_super_editor__complex_list_def_short_fde20a67_redline.docx,,MISSING,behavior__rtl_header_footer_e1ac81f6_super_editor__complex_list_def_short_fde20a67_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sd_2534_collab_export_f3c7fdf7_behavior__sd_2343_table_border_widths_b5148e83,super_editor__sd_2534_collab_export_f3c7fdf7,behavior__sd_2343_table_border_widths_b5148e83,superdoc_cross,super_editor__sd_2534_collab_export_f3c7fdf7.docx,behavior__sd_2343_table_border_widths_b5148e83.docx,super_editor__sd_2534_collab_export_f3c7fdf7_behavior__sd_2343_table_border_widths_b5148e83_redline.docx,,MISSING,super_editor__sd_2534_collab_export_f3c7fdf7_behavior__sd_2343_table_border_widths_b5148e83_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__basic_table_shading_d3212ffd_super_editor__simple_ordered_list_8288421a,super_editor__basic_table_shading_d3212ffd,super_editor__simple_ordered_list_8288421a,superdoc_cross,super_editor__basic_table_shading_d3212ffd.docx,super_editor__simple_ordered_list_8288421a.docx,super_editor__basic_table_shading_d3212ffd_super_editor__simple_ordered_list_8288421a_redline.docx,,MISSING,super_editor__basic_table_shading_d3212ffd_super_editor__simple_ordered_list_8288421a_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__basic_comment_d3ba5f1e_cli_legacy__sample_3a8f1f93,super_editor__basic_comment_d3ba5f1e,cli_legacy__sample_3a8f1f93,superdoc_cross,super_editor__basic_comment_d3ba5f1e.docx,cli_legacy__sample_3a8f1f93.docx,super_editor__basic_comment_d3ba5f1e_cli_legacy__sample_3a8f1f93_redline.docx,,MISSING,super_editor__basic_comment_d3ba5f1e_cli_legacy__sample_3a8f1f93_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sd_1480_two_col_index_0138dccc_super_editor__multi_section_doc_080d2655,super_editor__sd_1480_two_col_index_0138dccc,super_editor__multi_section_doc_080d2655,superdoc_cross,super_editor__sd_1480_two_col_index_0138dccc.docx,super_editor__multi_section_doc_080d2655.docx,super_editor__sd_1480_two_col_index_0138dccc_super_editor__multi_section_doc_080d2655_redline.docx,,MISSING,super_editor__sd_1480_two_col_index_0138dccc_super_editor__multi_section_doc_080d2655_redline.pdf,MISSING,accepted_docx; pdf_accepted
layout_engine__basic_vector_shapes_e5f0ef49_super_editor__list_def_mix_d7cec092,layout_engine__basic_vector_shapes_e5f0ef49,super_editor__list_def_mix_d7cec092,superdoc_cross,layout_engine__basic_vector_shapes_e5f0ef49.docx,super_editor__list_def_mix_d7cec092.docx,layout_engine__basic_vector_shapes_e5f0ef49_super_editor__list_def_mix_d7cec092_redline.docx,,MISSING,layout_engine__basic_vector_shapes_e5f0ef49_super_editor__list_def_mix_d7cec092_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__advanced_text_78401c31_super_editor__Google_Docs_Originated_comments___TCs_76ac865d,super_editor__advanced_text_78401c31,super_editor__Google_Docs_Originated_comments___TCs_76ac865d,superdoc_cross,super_editor__advanced_text_78401c31.docx,super_editor__Google_Docs_Originated_comments___TCs_76ac865d.docx,super_editor__advanced_text_78401c31_super_editor__Google_Docs_Originated_comments___TCs_76ac865d_redline.docx,,MISSING,super_editor__advanced_text_78401c31_super_editor__Google_Docs_Originated_comments___TCs_76ac865d_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__font_formatting_runs_8be3565a_behavior__math_phantom_tests_263131a8,super_editor__font_formatting_runs_8be3565a,behavior__math_phantom_tests_263131a8,superdoc_cross,super_editor__font_formatting_runs_8be3565a.docx,behavior__math_phantom_tests_263131a8.docx,super_editor__font_formatting_runs_8be3565a_behavior__math_phantom_tests_263131a8_redline.docx,,MISSING,super_editor__font_formatting_runs_8be3565a_behavior__math_phantom_tests_263131a8_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__sublist_issue_66a1800a_super_editor__sdt_node_comment_ec887683,super_editor__sublist_issue_66a1800a,super_editor__sdt_node_comment_ec887683,superdoc_cross,super_editor__sublist_issue_66a1800a.docx,super_editor__sdt_node_comment_ec887683.docx,super_editor__sublist_issue_66a1800a_super_editor__sdt_node_comment_ec887683_redline.docx,,MISSING,super_editor__sublist_issue_66a1800a_super_editor__sdt_node_comment_ec887683_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__restart_numbering_sub_list_85ddcb79,super_editor__h_f_normal_odd_even_firstpg_9b210d9a,super_editor__restart_numbering_sub_list_85ddcb79,superdoc_cross,super_editor__h_f_normal_odd_even_firstpg_9b210d9a.docx,super_editor__restart_numbering_sub_list_85ddcb79.docx,super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__restart_numbering_sub_list_85ddcb79_redline.docx,,MISSING,super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__restart_numbering_sub_list_85ddcb79_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__contract_acc_bbd983a0_super_editor__diff_before7_5bad2542,super_editor__contract_acc_bbd983a0,super_editor__diff_before7_5bad2542,superdoc_cross,super_editor__contract_acc_bbd983a0.docx,super_editor__diff_before7_5bad2542.docx,super_editor__contract_acc_bbd983a0_super_editor__diff_before7_5bad2542_redline.docx,,MISSING,super_editor__contract_acc_bbd983a0_super_editor__diff_before7_5bad2542_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__diff_before8_ba5faa9e,super_editor__Google_Docs_Originated_comments___TCs_76ac865d,super_editor__diff_before8_ba5faa9e,superdoc_cross,super_editor__Google_Docs_Originated_comments___TCs_76ac865d.docx,super_editor__diff_before8_ba5faa9e.docx,super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__diff_before8_ba5faa9e_redline.docx,,MISSING,super_editor__Google_Docs_Originated_comments___TCs_76ac865d_super_editor__diff_before8_ba5faa9e_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__ooxml_highlight_rstyle_linked_combos__eb448e21_super_editor__pci_table_dc840852,super_editor__ooxml_highlight_rstyle_linked_combos__eb448e21,super_editor__pci_table_dc840852,superdoc_cross,super_editor__ooxml_highlight_rstyle_linked_combos__eb448e21.docx,super_editor__pci_table_dc840852.docx,super_editor__ooxml_highlight_rstyle_linked_combos__eb448e21_super_editor__pci_table_dc840852_redline.docx,,MISSING,super_editor__ooxml_highlight_rstyle_linked_combos__eb448e21_super_editor__pci_table_dc840852_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__sd_2672_nested_table_dfac08bb_super_editor__blank_doc_b2a325e7,behavior__sd_2672_nested_table_dfac08bb,super_editor__blank_doc_b2a325e7,superdoc_cross,behavior__sd_2672_nested_table_dfac08bb.docx,super_editor__blank_doc_b2a325e7.docx,behavior__sd_2672_nested_table_dfac08bb_super_editor__blank_doc_b2a325e7_redline.docx,,MISSING,behavior__sd_2672_nested_table_dfac08bb_super_editor__blank_doc_b2a325e7_redline.pdf,MISSING,accepted_docx; pdf_accepted
behavior__math_eqarr_tests_40a1adb0_super_editor__sdt_test_60079f08,behavior__math_eqarr_tests_40a1adb0,super_editor__sdt_test_60079f08,superdoc_cross,behavior__math_eqarr_tests_40a1adb0.docx,super_editor__sdt_test_60079f08.docx,behavior__math_eqarr_tests_40a1adb0_super_editor__sdt_test_60079f08_redline.docx,,MISSING,behavior__math_eqarr_tests_40a1adb0_super_editor__sdt_test_60079f08_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__table_widths_SD_732_12074135_super_editor__diff_after6_5f9799d0,super_editor__table_widths_SD_732_12074135,super_editor__diff_after6_5f9799d0,superdoc_cross,super_editor__table_widths_SD_732_12074135.docx,super_editor__diff_after6_5f9799d0.docx,super_editor__table_widths_SD_732_12074135_super_editor__diff_after6_5f9799d0_redline.docx,,MISSING,super_editor__table_widths_SD_732_12074135_super_editor__diff_after6_5f9799d0_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__ooxml_italic_rstyle_combos_demo_90894ac1_behavior__sd_2672_rtl_table_63bd9d10,super_editor__ooxml_italic_rstyle_combos_demo_90894ac1,behavior__sd_2672_rtl_table_63bd9d10,superdoc_cross,super_editor__ooxml_italic_rstyle_combos_demo_90894ac1.docx,behavior__sd_2672_rtl_table_63bd9d10.docx,super_editor__ooxml_italic_rstyle_combos_demo_90894ac1_behavior__sd_2672_rtl_table_63bd9d10_redline.docx,,MISSING,super_editor__ooxml_italic_rstyle_combos_demo_90894ac1_behavior__sd_2672_rtl_table_63bd9d10_redline.pdf,MISSING,accepted_docx; pdf_accepted
